['Fi', 'R', 'U', 'Ui', 'Fi', 'Li', 'F', 'Bi', 'Ui', 'Ui', 'R', 'Li', 'Ri', 'D', 'R', 'L', 'Bi', 'Fi', 'D', 'R', 'Fi', 'R', 'L', 'U', 'R', 'U', 'Li', 'U', 'Ri', 'F']
['Ri', 'D', 'R', 'Fi', 'Ui', 'Bi', 'Fi', 'D', 'Fi', 'U', 'D', 'R', 'B', 'Li', 'Li', 'B', 'Bi', 'Fi', 'D', 'B', 'D', 'Li', 'R', 'D', 'Fi', 'B', 'L', 'Li', 'L', 'F']
['B', 'Fi', 'R', 'L', 'B', 'U', 'Li', 'Ri', 'R', 'F', 'L', 'Ri', 'B', 'Bi', 'Ui', 'L', 'U', 'B', 'R', 'Di', 'Ri', 'Bi', 'F', 'Ui', 'Ri', 'L', 'F', 'B', 'U', 'Fi']
['Di', 'Li', 'D', 'Bi', 'R', 'U', 'F', 'L', 'Ri', 'U', 'L', 'U', 'Ui', 'Fi', 'L', 'B', 'Fi', 'B', 'Bi', 'B', 'L', 'U', 'U', 'L', 'Bi', 'Ui', 'Ri', 'F', 'Ui', 'L']
['L', 'B', 'Ui', 'Ri', 'Ri', 'D', 'Bi', 'Li', 'Bi', 'Ri', 'Ui', 'F', 'F', 'F', 'Ri', 'L', 'Ri', 'R', 'Fi', 'R', 'B', 'D', 'L', 'Li', 'L', 'L', 'B', 'Di', 'Ri', 'Fi']
['Di', 'Fi', 'Fi', 'Ui', 'D', 'D', 'Bi', 'Di', 'U', 'D', 'Li', 'Di', 'Ui', 'U', 'B', 'R', 'Li', 'Ui', 'F', 'Ui', 'Li', 'Bi', 'R', 'Ri', 'Bi', 'Fi', 'L', 'D', 'Bi', 'Bi']
['B', 'R', 'U', 'Ri', 'D', 'B', 'Ui', 'Bi', 'Bi', 'Di', 'Ri', 'Ri', 'L', 'Ri', 'Li', 'B', 'D', 'Fi', 'L', 'R', 'D', 'Li', 'B', 'Bi', 'Fi', 'Li', 'Fi', 'Fi', 'Di', 'Fi']
['Ri', 'Fi', 'F', 'Li', 'D', 'D', 'D', 'B', 'D', 'D', 'Di', 'Ui', 'Ui', 'F', 'Di', 'F', 'Bi', 'Li', 'Ri', 'Fi', 'Fi', 'L', 'Fi', 'Bi', 'Di', 'Di', 'Li', 'Di', 'Ri', 'Bi']
['Ri', 'Fi', 'D', 'Di', 'Fi', 'Li', 'L', 'U', 'Ri', 'Ui', 'Ri', 'R', 'R', 'D', 'Bi', 'L', 'Li', 'Ri', 'R', 'Bi', 'Ui', 'R', 'B', 'Ui', 'L', 'Di', 'Bi', 'Li', 'L', 'Bi']
['F', 'Ri', 'R', 'F', 'D', 'L', 'F', 'Ui', 'U', 'F', 'R', 'D', 'Bi', 'R', 'U', 'Ri', 'R', 'B', 'B', 'L', 'B', 'F', 'B', 'R', 'L', 'Fi', 'Fi', 'Bi', 'Ri', 'Di']
['B', 'Di', 'F', 'Bi', 'Ri', 'Li', 'F', 'Fi', 'D', 'B', 'Bi', 'Li', 'L', 'Li', 'U', 'Ui', 'Ui', 'B', 'F', 'L', 'L', 'B', 'R', 'Bi', 'Di', 'U', 'F', 'Di', 'U', 'Ui']
['B', 'Fi', 'Ri', 'D', 'Fi', 'Li', 'F', 'D', 'Li', 'B', 'Ui', 'Li', 'Ui', 'U', 'Di', 'Li', 'L', 'Ri', 'Li', 'L', 'Bi', 'Fi', 'D', 'R', 'L', 'Fi', 'U', 'F', 'B', 'U']
['F', 'Bi', 'Ri', 'Li', 'U', 'Bi', 'Ri', 'B', 'F', 'Ui', 'Ri', 'Di', 'Fi', 'Fi', 'Ri', 'Ri', 'Di', 'D', 'R', 'R', 'R', 'Ri', 'Ui', 'U', 'Li', 'Ui', 'B', 'D', 'F', 'Ri']
['Fi', 'L', 'L', 'Ri', 'Ui', 'Ri', 'D', 'F', 'Li', 'R', 'Di', 'Ri', 'D', 'Ui', 'U', 'F', 'F', 'B', 'Bi', 'U', 'Fi', 'L', 'Ri', 'Bi', 'D', 'F', 'F', 'Bi', 'U', 'R']
['Ui', 'D', 'R', 'Ri', 'R', 'D', 'R', 'Fi', 'D', 'D', 'U', 'Bi', 'Li', 'Bi', 'D', 'Ui', 'Bi', 'R', 'Ri', 'Ui', 'Bi', 'Di', 'D', 'D', 'Ri', 'Ui', 'F', 'L', 'L', 'Di']
['Ri', 'Ui', 'D', 'Fi', 'Ri', 'Ri', 'U', 'Ri', 'D', 'L', 'Li', 'Fi', 'B', 'U', 'D', 'Ri', 'B', 'Fi', 'Ui', 'Bi', 'D', 'Ui', 'B', 'Ri', 'Fi', 'Ri', 'Ui', 'Bi', 'Li', 'R']
['Di', 'Ui', 'Ui', 'Ui', 'Ui', 'B', 'Bi', 'Di', 'Li', 'Ri', 'Bi', 'Fi', 'Li', 'U', 'Fi', 'Fi', 'Ui', 'R', 'Fi', 'Fi', 'U', 'Ri', 'Ui', 'Fi', 'B', 'Ui', 'Ri', 'Di', 'Li', 'Ri']
['Ui', 'F', 'F', 'Ri', 'Di', 'Fi', 'L', 'D', 'R', 'U', 'Fi', 'F', 'Li', 'F', 'F', 'D', 'Bi', 'Di', 'Di', 'U', 'U', 'R', 'B', 'D', 'Di', 'Ri', 'B', 'Li', 'Li', 'L']
['Bi', 'R', 'R', 'L', 'U', 'R', 'B', 'D', 'Li', 'U', 'R', 'Ri', 'L', 'Li', 'B', 'L', 'Li', 'F', 'Fi', 'Li', 'R', 'U', 'Di', 'B', 'F', 'D', 'Fi', 'B', 'B', 'Ri']
['R', 'Di', 'U', 'U', 'D', 'Bi', 'Ri', 'Li', 'U', 'Di', 'B', 'Di', 'R', 'U', 'Fi', 'Li', 'Bi', 'Ui', 'F', 'U', 'L', 'D', 'L', 'B', 'Fi', 'Li', 'Li', 'L', 'U', 'Di']
['D', 'Li', 'U', 'Li', 'Fi', 'B', 'Ri', 'Di', 'R', 'B', 'Bi', 'Bi', 'B', 'D', 'U', 'F', 'B', 'D', 'Bi', 'Fi', 'Ri', 'Ri', 'Fi', 'Li', 'Li', 'F', 'Di', 'Bi', 'D', 'D']
['D', 'Ri', 'Ui', 'L', 'U', 'Li', 'L', 'Li', 'Di', 'Bi', 'D', 'F', 'R', 'L', 'U', 'B', 'Li', 'R', 'Ri', 'Ui', 'R', 'L', 'F', 'F', 'Bi', 'Di', 'R', 'Li', 'Li', 'Ui']
['R', 'B', 'D', 'D', 'Fi', 'Bi', 'Di', 'L', 'B', 'R', 'D', 'L', 'Li', 'Fi', 'R', 'Li', 'D', 'Li', 'Fi', 'Ri', 'L', 'Di', 'F', 'Di', 'U', 'Fi', 'B', 'Di', 'B', 'Li']
['Di', 'Li', 'U', 'U', 'D', 'B', 'B', 'F', 'Ui', 'Li', 'Li', 'L', 'U', 'Di', 'D', 'F', 'F', 'L', 'U', 'Fi', 'U', 'Li', 'R', 'Di', 'U', 'F', 'R', 'Di', 'L', 'Ri']
['Ui', 'L', 'Ri', 'Ri', 'R', 'B', 'D', 'Di', 'Di', 'Ui', 'F', 'B', 'Di', 'Li', 'Bi', 'F', 'L', 'U', 'U', 'U', 'Fi', 'Li', 'U', 'F', 'Bi', 'F', 'Bi', 'Di', 'B', 'B']
['L', 'L', 'U', 'R', 'Bi', 'F', 'Bi', 'L', 'Ui', 'D', 'U', 'Di', 'U', 'Fi', 'F', 'Ui', 'Di', 'Di', 'Bi', 'L', 'D', 'Bi', 'Fi', 'U', 'U', 'Ri', 'R', 'Ri', 'U', 'R']
['R', 'L', 'L', 'Fi', 'Bi', 'F', 'R', 'Ui', 'Fi', 'U', 'B', 'L', 'Bi', 'D', 'Bi', 'Li', 'B', 'Di', 'Di', 'Ri', 'Di', 'D', 'D', 'Ui', 'B', 'F', 'Ri', 'Li', 'Li', 'U']
['Ui', 'L', 'Bi', 'Ui', 'L', 'Fi', 'B', 'R', 'U', 'B', 'Bi', 'R', 'R', 'D', 'D', 'B', 'Ui', 'Ri', 'U', 'D', 'Li', 'Di', 'L', 'Li', 'B', 'Ui', 'Fi', 'Bi', 'L', 'B']
['F', 'Ui', 'Di', 'Di', 'U', 'Fi', 'U', 'F', 'L', 'Bi', 'F', 'L', 'Li', 'R', 'D', 'Ri', 'D', 'Ri', 'L', 'Di', 'B', 'B', 'Li', 'Di', 'Ri', 'Fi', 'Li', 'R', 'R', 'U']
['Bi', 'D', 'L', 'Di', 'Ui', 'L', 'Ui', 'Ui', 'Li', 'F', 'U', 'Ri', 'U', 'B', 'Li', 'U', 'U', 'R', 'U', 'U', 'F', 'Ui', 'Ri', 'Fi', 'Ri', 'Ui', 'Bi', 'Ui', 'Ri', 'D']
['L', 'Li', 'L', 'Di', 'Fi', 'Ri', 'Ri', 'Di', 'D', 'Fi', 'Bi', 'B', 'L', 'F', 'F', 'Fi', 'Bi', 'Ri', 'R', 'D', 'D', 'Bi', 'F', 'Ri', 'Fi', 'U', 'B', 'B', 'Di', 'F']
['F', 'Ui', 'Ui', 'R', 'D', 'Li', 'Di', 'Ri', 'R', 'Di', 'L', 'F', 'Bi', 'B', 'Bi', 'Bi', 'R', 'Fi', 'Ui', 'Fi', 'Li', 'R', 'U', 'U', 'U', 'B', 'Bi', 'Li', 'Fi', 'Fi']
['B', 'D', 'Bi', 'Ui', 'Bi', 'D', 'D', 'Bi', 'Ui', 'F', 'Ri', 'R', 'B', 'Bi', 'Ui', 'D', 'F', 'Di', 'Bi', 'L', 'Bi', 'L', 'L', 'Ui', 'R', 'Ri', 'Fi', 'B', 'B', 'F']
['U', 'D', 'Bi', 'U', 'L', 'U', 'Ui', 'Ui', 'U', 'Fi', 'R', 'F', 'L', 'L', 'L', 'D', 'F', 'L', 'U', 'Di', 'Ui', 'L', 'Ri', 'Ui', 'B', 'B', 'Bi', 'F', 'R', 'Di']
['Li', 'Bi', 'Li', 'U', 'Ui', 'R', 'U', 'Fi', 'F', 'F', 'Di', 'L', 'D', 'B', 'R', 'L', 'D', 'Di', 'Li', 'F', 'B', 'R', 'Ui', 'Ui', 'Fi', 'Bi', 'Ri', 'U', 'R', 'Bi']
['Ui', 'R', 'Bi', 'Li', 'U', 'Li', 'F', 'U', 'Ui', 'L', 'Ri', 'L', 'R', 'Bi', 'Fi', 'Fi', 'U', 'F', 'Ui', 'D', 'Bi', 'Ui', 'Li', 'R', 'Li', 'F', 'Ui', 'Fi', 'L', 'F']
['Li', 'D', 'Di', 'Fi', 'U', 'D', 'Di', 'L', 'Li', 'Ui', 'B', 'R', 'U', 'B', 'Li', 'R', 'U', 'L', 'L', 'B', 'D', 'Ui', 'U', 'F', 'F', 'Bi', 'Li', 'D', 'Ri', 'L']
['Fi', 'Di', 'Fi', 'R', 'L', 'D', 'Di', 'L', 'F', 'R', 'U', 'F', 'D', 'B', 'F', 'Di', 'Fi', 'Li', 'F', 'B', 'Bi', 'B', 'Fi', 'D', 'Fi', 'Ui', 'Ri', 'Di', 'Ui', 'Bi']
['B', 'D', 'B', 'F', 'Bi', 'Li', 'Ui', 'Bi', 'Fi', 'Di', 'F', 'Fi', 'U', 'F', 'B', 'Bi', 'Ri', 'L', 'D', 'Di', 'R', 'L', 'Di', 'L', 'D', 'R', 'Fi', 'Li', 'D', 'U']
['F', 'Fi', 'F', 'Li', 'B', 'R', 'Ri', 'D', 'D', 'U', 'Di', 'Di', 'Fi', 'Bi', 'U', 'B', 'Bi', 'L', 'Bi', 'B', 'Di', 'U', 'U', 'Li', 'Bi', 'D', 'Fi', 'Bi', 'Li', 'L']
['Li', 'U', 'Ui', 'F', 'B', 'L', 'D', 'B', 'Li', 'D', 'Li', 'U', 'L', 'U', 'U', 'Bi', 'B', 'Di', 'Bi', 'Ri', 'L', 'U', 'Ui', 'Ri', 'Fi', 'U', 'L', 'B', 'R', 'D']
['Ui', 'Di', 'Bi', 'Li', 'Li', 'F', 'R', 'U', 'Di', 'L', 'Ri', 'Fi', 'Fi', 'L', 'Li', 'Ri', 'Li', 'L', 'Ui', 'Fi', 'R', 'Fi', 'R', 'Li', 'Fi', 'U', 'Ui', 'Di', 'U', 'F']
['Bi', 'B', 'F', 'Li', 'Ri', 'Bi', 'D', 'D', 'F', 'Di', 'Ui', 'Bi', 'D', 'Li', 'U', 'Ui', 'Di', 'Bi', 'B', 'Ri', 'L', 'U', 'B', 'Li', 'D', 'Li', 'F', 'Li', 'F', 'Fi']
['Ui', 'L', 'R', 'Ri', 'Ri', 'F', 'Ui', 'Ui', 'L', 'L', 'Ui', 'Ui', 'Ui', 'D', 'L', 'U', 'Ri', 'B', 'R', 'Ri', 'F', 'Fi', 'L', 'Ri', 'Li', 'D', 'Fi', 'Ui', 'L', 'Ri']
['L', 'U', 'F', 'Bi', 'Ui', 'R', 'Li', 'R', 'B', 'B', 'Di', 'B', 'B', 'Ri', 'Ri', 'Ri', 'B', 'Fi', 'L', 'F', 'Ri', 'Ri', 'B', 'Ri', 'R', 'F', 'R', 'Bi', 'D', 'Di']
['Bi', 'Di', 'U', 'Bi', 'Ri', 'Ui', 'U', 'Li', 'Di', 'F', 'Ui', 'L', 'L', 'F', 'R', 'Li', 'Ri', 'B', 'Fi', 'R', 'Li', 'Di', 'Di', 'R', 'B', 'Ri', 'R', 'Fi', 'Ri', 'D']
['L', 'Di', 'Ui', 'L', 'U', 'Fi', 'D', 'Ui', 'U', 'D', 'Ui', 'L', 'U', 'L', 'Li', 'Bi', 'F', 'Bi', 'Ui', 'U', 'U', 'R', 'Li', 'Li', 'B', 'B', 'Li', 'Fi', 'Ui', 'B']
['Li', 'Bi', 'B', 'L', 'Fi', 'Ui', 'Ui', 'L', 'Ui', 'Ri', 'Fi', 'R', 'Di', 'Li', 'B', 'D', 'Bi', 'Ri', 'Ui', 'L', 'Ri', 'Li', 'Di', 'Bi', 'Di', 'Li', 'Fi', 'B', 'B', 'Di']
['F', 'D', 'R', 'D', 'D', 'F', 'L', 'R', 'D', 'Di', 'Li', 'F', 'Ri', 'Fi', 'D', 'D', 'Li', 'Bi', 'B', 'Ri', 'Ri', 'R', 'Li', 'B', 'D', 'F', 'Ri', 'D', 'Li', 'L']
['Bi', 'Ri', 'B', 'Ui', 'Di', 'Ui', 'D', 'Di', 'Ri', 'B', 'B', 'Bi', 'Fi', 'D', 'Di', 'L', 'Ui', 'F', 'Di', 'L', 'Di', 'Fi', 'Bi', 'U', 'Di', 'Li', 'Bi', 'Bi', 'Ui', 'F']
['Fi', 'U', 'U', 'D', 'Bi', 'Li', 'Di', 'F', 'R', 'Bi', 'R', 'Ui', 'B', 'Li', 'Bi', 'Ri', 'B', 'Bi', 'R', 'L', 'U', 'Ui', 'D', 'Fi', 'Ui', 'L', 'Ui', 'Di', 'Ui', 'Li']
['B', 'Ui', 'F', 'Fi', 'B', 'U', 'Li', 'L', 'Ui', 'Li', 'Di', 'L', 'L', 'Fi', 'F', 'Ri', 'Bi', 'R', 'Fi', 'F', 'F', 'Ri', 'Fi', 'Ui', 'Li', 'Fi', 'B', 'D', 'R', 'R']
['Fi', 'F', 'B', 'L', 'B', 'D', 'U', 'L', 'B', 'L', 'Ri', 'L', 'Li', 'Ui', 'Ui', 'F', 'R', 'Fi', 'Li', 'U', 'Ui', 'D', 'U', 'R', 'Bi', 'R', 'L', 'U', 'Di', 'L']
['U', 'D', 'F', 'D', 'L', 'R', 'F', 'F', 'F', 'B', 'Ri', 'Bi', 'D', 'Fi', 'Di', 'U', 'Ri', 'Fi', 'Fi', 'Li', 'B', 'L', 'R', 'L', 'Di', 'R', 'Li', 'Ui', 'Bi', 'Ri']
['U', 'Li', 'Di', 'Di', 'U', 'R', 'Fi', 'U', 'U', 'Li', 'F', 'Li', 'Fi', 'U', 'B', 'Di', 'R', 'Fi', 'Fi', 'D', 'F', 'F', 'Fi', 'Bi', 'Li', 'Ui', 'Fi', 'Ri', 'F', 'Li']
['R', 'U', 'Bi', 'U', 'L', 'R', 'R', 'F', 'R', 'Di', 'Di', 'L', 'D', 'Ui', 'L', 'U', 'Fi', 'D', 'U', 'F', 'Fi', 'Ri', 'R', 'Ui', 'L', 'Ui', 'Di', 'D', 'L', 'Li']
['Fi', 'Bi', 'Fi', 'Li', 'L', 'D', 'Fi', 'Fi', 'B', 'B', 'L', 'Fi', 'Di', 'D', 'Ui', 'Li', 'L', 'U', 'L', 'Di', 'Ri', 'Fi', 'R', 'D', 'Fi', 'Bi', 'R', 'D', 'B', 'Fi']
['Di', 'Ri', 'D', 'Di', 'D', 'Bi', 'Di', 'B', 'L', 'L', 'R', 'Ri', 'R', 'B', 'Bi', 'Ui', 'L', 'Li', 'Ui', 'F', 'L', 'Bi', 'U', 'R', 'L', 'F', 'U', 'R', 'Di', 'Fi']
['U', 'Di', 'Ui', 'L', 'F', 'Bi', 'U', 'Fi', 'R', 'Ri', 'D', 'F', 'L', 'D', 'Bi', 'Ri', 'Di', 'Di', 'Fi', 'Li', 'Li', 'D', 'Li', 'R', 'Di', 'Fi', 'B', 'F', 'F', 'Di']
['L', 'L', 'D', 'U', 'R', 'B', 'L', 'Di', 'Ri', 'Li', 'Ui', 'Bi', 'Di', 'L', 'Li', 'Ui', 'Ri', 'Ui', 'U', 'Ui', 'Ri', 'Ui', 'Bi', 'Di', 'Ri', 'D', 'D', 'Li', 'R', 'Li']
['F', 'U', 'B', 'Li', 'D', 'D', 'L', 'Li', 'R', 'B', 'Ri', 'F', 'U', 'D', 'D', 'R', 'B', 'B', 'Ri', 'Ui', 'R', 'U', 'Fi', 'U', 'B', 'R', 'Ui', 'Bi', 'U', 'Di']
['Bi', 'Di', 'Ri', 'R', 'D', 'B', 'L', 'Li', 'Bi', 'Ui', 'Ri', 'L', 'Ri', 'Fi', 'R', 'Di', 'F', 'B', 'Fi', 'U', 'R', 'Ri', 'Bi', 'U', 'U', 'B', 'Ri', 'Di', 'Bi', 'Bi']
['Di', 'U', 'B', 'U', 'Ri', 'Di', 'Ri', 'Ri', 'Bi', 'D', 'Di', 'L', 'Li', 'R', 'Ri', 'R', 'F', 'B', 'Ui', 'U', 'Di', 'F', 'Bi', 'R', 'Bi', 'L', 'B', 'B', 'D', 'U']
['Bi', 'Li', 'U', 'Li', 'D', 'R', 'Li', 'F', 'Bi', 'Fi', 'Ui', 'R', 'F', 'F', 'Li', 'Ri', 'Fi', 'Li', 'Ri', 'L', 'Di', 'U', 'Li', 'D', 'Bi', 'Li', 'R', 'R', 'L', 'R']
['Ri', 'D', 'Ui', 'Fi', 'B', 'D', 'L', 'F', 'L', 'R', 'B', 'Ui', 'L', 'Fi', 'Li', 'Li', 'Ui', 'L', 'Ri', 'Ri', 'Ri', 'Ui', 'Ri', 'L', 'L', 'D', 'Li', 'F', 'Fi', 'Fi']
['Ui', 'Di', 'L', 'Ri', 'U', 'B', 'Ri', 'R', 'R', 'L', 'L', 'U', 'L', 'Di', 'F', 'L', 'Di', 'R', 'L', 'Ri', 'R', 'U', 'L', 'Ri', 'L', 'D', 'Li', 'U', 'D', 'Di']
['D', 'B', 'F', 'Ui', 'Bi', 'Bi', 'L', 'L', 'Li', 'Bi', 'Di', 'Bi', 'Li', 'Bi', 'D', 'L', 'Fi', 'Li', 'Ui', 'F', 'Bi', 'Bi', 'Bi', 'Ri', 'Ui', 'D', 'D', 'Ri', 'L', 'L']
['Di', 'Ui', 'U', 'Bi', 'D', 'F', 'Ui', 'B', 'D', 'B', 'Li', 'Li', 'Li', 'Di', 'R', 'Ui', 'U', 'Di', 'Bi', 'B', 'R', 'Ui', 'R', 'Bi', 'Fi', 'Li', 'R', 'D', 'U', 'F']
['L', 'R', 'D', 'U', 'F', 'Ri', 'Bi', 'Di', 'R', 'Fi', 'Fi', 'Ui', 'Ui', 'R', 'F', 'Bi', 'Bi', 'R', 'R', 'D', 'Di', 'F', 'F', 'Ri', 'Ui', 'R', 'F', 'D', 'Bi', 'Ui']
['Ri', 'U', 'Ri', 'R', 'D', 'Fi', 'Di', 'D', 'Di', 'R', 'L', 'U', 'Ui', 'F', 'Ui', 'F', 'Ui', 'D', 'F', 'Li', 'L', 'Ri', 'Ri', 'U', 'Ri', 'Fi', 'Fi', 'B', 'Bi', 'B']
['Bi', 'R', 'U', 'F', 'Ui', 'U', 'R', 'U', 'Li', 'Ri', 'Fi', 'U', 'F', 'D', 'Ri', 'Ui', 'Ri', 'Bi', 'F', 'Fi', 'Ui', 'B', 'F', 'Ui', 'D', 'Ui', 'Fi', 'F', 'B', 'Di']
['Bi', 'L', 'Ri', 'Fi', 'Ui', 'U', 'F', 'Fi', 'Fi', 'Ri', 'U', 'Li', 'D', 'Di', 'F', 'Di', 'Ri', 'Bi', 'F', 'Fi', 'Di', 'Li', 'D', 'U', 'R', 'Fi', 'R', 'L', 'F', 'Ri']
['Di', 'Ui', 'Fi', 'Di', 'U', 'L', 'Ri', 'Ri', 'Ri', 'Ri', 'D', 'R', 'Bi', 'Bi', 'R', 'U', 'Ui', 'U', 'R', 'Fi', 'D', 'Fi', 'R', 'U', 'Ri', 'D', 'L', 'D', 'R', 'B']
['B', 'Ri', 'F', 'D', 'Li', 'U', 'Bi', 'F', 'L', 'L', 'Fi', 'B', 'Li', 'Li', 'Ri', 'Fi', 'Bi', 'Bi', 'Ui', 'Ui', 'Ri', 'B', 'Di', 'Fi', 'F', 'Di', 'D', 'Di', 'B', 'U']
['Ui', 'Ri', 'D', 'D', 'Li', 'D', 'F', 'Li', 'Ui', 'F', 'Ui', 'L', 'Di', 'Bi', 'D', 'Ri', 'F', 'Fi', 'Li', 'D', 'Ui', 'D', 'Fi', 'D', 'U', 'L', 'B', 'Di', 'F', 'L']
['F', 'Fi', 'R', 'Ui', 'Li', 'D', 'Li', 'Ri', 'Li', 'L', 'Ui', 'Di', 'Bi', 'R', 'D', 'Ri', 'Ui', 'Di', 'Ui', 'L', 'U', 'Bi', 'B', 'F', 'R', 'B', 'L', 'Fi', 'U', 'Fi']
['L', 'Bi', 'U', 'R', 'Ui', 'D', 'Li', 'F', 'Di', 'B', 'U', 'R', 'Li', 'Bi', 'L', 'Fi', 'U', 'Ri', 'U', 'Fi', 'Li', 'Ri', 'Fi', 'R', 'Fi', 'Li', 'Ri', 'D', 'Li', 'F']
['L', 'Ri', 'L', 'R', 'D', 'Fi', 'Bi', 'L', 'L', 'B', 'L', 'Ri', 'Li', 'Fi', 'U', 'B', 'R', 'R', 'Ri', 'B', 'F', 'B', 'U', 'R', 'L', 'Li', 'Ui', 'Fi', 'F', 'Ri']
['L', 'Fi', 'Fi', 'Ri', 'Ui', 'R', 'L', 'Ri', 'D', 'D', 'F', 'Fi', 'D', 'Di', 'Li', 'R', 'R', 'Ui', 'Fi', 'Li', 'U', 'U', 'Bi', 'L', 'Bi', 'D', 'F', 'U', 'D', 'Di']
['Li', 'B', 'R', 'U', 'B', 'Fi', 'D', 'Di', 'D', 'L', 'Ri', 'Ri', 'Di', 'Di', 'Di', 'L', 'B', 'F', 'Ui', 'D', 'F', 'B', 'Li', 'L', 'B', 'L', 'Ri', 'D', 'L', 'Ui']
['Di', 'Li', 'Li', 'R', 'Di', 'B', 'R', 'D', 'R', 'F', 'B', 'Li', 'U', 'L', 'R', 'R', 'Bi', 'R', 'Bi', 'Ri', 'R', 'B', 'Ri', 'U', 'Ui', 'R', 'D', 'F', 'Bi', 'Ri']
['Ri', 'Ui', 'Ri', 'Di', 'B', 'L', 'Di', 'U', 'B', 'Fi', 'U', 'L', 'D', 'F', 'Li', 'Li', 'Ri', 'Di', 'Li', 'U', 'F', 'B', 'Ri', 'L', 'Ui', 'B', 'D', 'Ui', 'U', 'Bi']
['Di', 'U', 'D', 'F', 'Li', 'L', 'R', 'U', 'Ri', 'Di', 'Ui', 'Ui', 'Ui', 'F', 'Ri', 'Bi', 'Ri', 'Ri', 'Li', 'D', 'Di', 'L', 'Bi', 'Ri', 'U', 'F', 'Li', 'B', 'Di', 'Li']
['Di', 'D', 'L', 'Bi', 'U', 'Li', 'L', 'Di', 'L', 'B', 'Ui', 'B', 'F', 'U', 'Di', 'L', 'Fi', 'Li', 'Li', 'L', 'Fi', 'Fi', 'Ri', 'U', 'F', 'Bi', 'Li', 'Fi', 'U', 'Bi']
['Ui', 'U', 'Di', 'Di', 'R', 'Ri', 'Di', 'D', 'Ri', 'R', 'Bi', 'Ui', 'U', 'Di', 'D', 'D', 'Ui', 'Di', 'U', 'Di', 'F', 'B', 'Li', 'B', 'Ri', 'Ui', 'U', 'Di', 'U', 'Ri']
['Fi', 'U', 'U', 'F', 'B', 'F', 'U', 'Bi', 'Ri', 'Di', 'Li', 'Ui', 'Di', 'R', 'Bi', 'L', 'Bi', 'R', 'Ui', 'Fi', 'B', 'Fi', 'F', 'U', 'Ri', 'Fi', 'Fi', 'L', 'U', 'Ui']
['Bi', 'Ui', 'L', 'F', 'D', 'B', 'Ri', 'Ui', 'R', 'L', 'Fi', 'L', 'F', 'Di', 'R', 'Li', 'Fi', 'F', 'R', 'Fi', 'D', 'Ui', 'Fi', 'Fi', 'U', 'Ui', 'Ri', 'D', 'Fi', 'R']
['Ri', 'Fi', 'Di', 'Bi', 'Bi', 'Fi', 'Ui', 'R', 'Fi', 'Ri', 'L', 'Fi', 'Ui', 'F', 'D', 'L', 'Bi', 'R', 'Fi', 'R', 'Ui', 'Bi', 'Li', 'Di', 'Ui', 'L', 'D', 'Li', 'B', 'F']
['Bi', 'L', 'Li', 'D', 'Di', 'D', 'F', 'L', 'B', 'Fi', 'Bi', 'Ui', 'Ui', 'Ui', 'Li', 'F', 'Di', 'Ui', 'F', 'Di', 'L', 'R', 'F', 'Ri', 'Ui', 'Bi', 'Fi', 'R', 'Ri', 'U']
['D', 'B', 'B', 'F', 'Ri', 'F', 'Li', 'L', 'D', 'B', 'U', 'R', 'Ri', 'Fi', 'L', 'L', 'U', 'U', 'Bi', 'F', 'B', 'Ri', 'R', 'Di', 'D', 'B', 'Bi', 'R', 'Di', 'Fi']
['Ri', 'R', 'Di', 'B', 'D', 'Fi', 'F', 'L', 'Li', 'U', 'D', 'Ui', 'Li', 'Bi', 'Ui', 'Li', 'Di', 'Fi', 'Li', 'L', 'R', 'F', 'L', 'Ri', 'B', 'Fi', 'R', 'Ri', 'Ui', 'B']
['D', 'L', 'U', 'Fi', 'Fi', 'Di', 'B', 'F', 'R', 'Ri', 'Li', 'Di', 'D', 'Bi', 'Bi', 'Fi', 'Ri', 'F', 'R', 'U', 'R', 'Ui', 'D', 'R', 'L', 'F', 'D', 'Ri', 'U', 'Ri']
['Ui', 'Li', 'Di', 'L', 'F', 'B', 'U', 'Bi', 'Bi', 'Fi', 'F', 'Di', 'L', 'R', 'Fi', 'Ri', 'Ri', 'U', 'F', 'Ui', 'Bi', 'F', 'B', 'Di', 'Li', 'F', 'L', 'Ui', 'L', 'Ui']
['Ui', 'Ui', 'Di', 'R', 'U', 'D', 'Fi', 'Fi', 'F', 'B', 'D', 'Ri', 'B', 'U', 'U', 'Li', 'Bi', 'F', 'L', 'F', 'F', 'R', 'L', 'F', 'Li', 'Li', 'U', 'Fi', 'F', 'L']
['F', 'L', 'Bi', 'U', 'Ui', 'L', 'Ri', 'B', 'Bi', 'Fi', 'D', 'R', 'D', 'L', 'Ui', 'Ui', 'Fi', 'D', 'R', 'B', 'D', 'R', 'F', 'Li', 'B', 'U', 'R', 'Ri', 'B', 'Fi']
['B', 'R', 'B', 'Di', 'Li', 'Ri', 'Di', 'U', 'Ri', 'R', 'U', 'Fi', 'F', 'Li', 'B', 'L', 'Ri', 'Ri', 'R', 'Bi', 'B', 'Bi', 'R', 'Fi', 'Fi', 'R', 'B', 'Di', 'L', 'Li']
