[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'R', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'D', 'Ri', 'Di', 'U', 'R2', 'U', 'yi', 'L2', 'U', 'F2', ' | ', 'F', 'Ui', 'Fi', 'Ui', 'yi', 'Li', 'Ui', 'L', ' | ', 'Ui', 'L', 'U', 'Li', 'Ui', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'Ui', 'F', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'Li', 'Ui', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'Ui', 'yi', 'L', 'F2', 'D', 'Fi', 'U', 'F', 'Di', 'F2', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'D', 'y', 'Ri', 'Di', 'U', 'F', 'Ri', 'Fi', 'D2', 'F', 'D2', ' | ', 'U', 'F', 'U', 'Fi', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Ri', 'U', 'R', ' | ', 'U', 'L', 'U2', 'Li', 'U2', 'L', 'U', 'Li', ' | ', 'R', 'U', 'Ri', 'U2', 'R', 'U2', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U2', 'L2', 'D', 'Li', 'U2', 'L', 'Di', 'Li', 'U2', 'Li', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U']
[' | ', 'F', 'Di', 'Fi', 'D', 'D', 'Li', 'Di', 'U', 'L2', ' | ', 'Fi', 'U2', 'F', 'Ui', 'y', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Fi', 'Ui', 'F', 'U2', 'Fi', 'U', 'F', ' | ', 'Li', 'U2', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'U2', 'Li', 'Ui', 'L', ' | ', ' | ', 'U2', 'F', 'U2', 'Fi', 'U2', 'Fi', 'L', 'F', 'Li', ' | ', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'M']
[' | ', 'U2', 'L', 'Fi', 'Li', 'Di', 'Fi', 'D', 'U', 'R', 'y', 'Ri', 'Fi', 'U2', 'yi', 'L2', ' | ', 'L', 'Ui', 'Li', 'F', 'Ui', 'Fi', ' | ', 'U2', 'y', 'Ri', 'Ui', 'R', 'U', 'F', 'U', 'Fi', ' | ', 'y', 'R', 'U', 'Ri', 'U2', 'F', 'U', 'Fi', ' | ', 'U', 'Fi', 'U2', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'y', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U2', 'R2', 'U', 'Ri', 'U', 'R', 'U2', 'Ri', ' | ', 'U', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui']
[' | ', 'yi', 'L', 'D2', 'Li', 'D2', 'Di', 'Ri', 'D', 'L', 'F2', ' | ', 'F', 'Ui', 'Fi', 'U', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Fi', 'U', 'F', 'Li', 'Ui', 'L', ' | ', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'yi', 'Li', 'U2', 'L', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'F', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', 'Ui', 'Fi', ' | ', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi']
[' | ', 'D', 'R', 'Di', 'Ui', 'F', 'Ri', 'Fi', 'L', 'D', 'Li', 'Di', 'D', 'F', 'Di', ' | ', 'U2', 'Ri', 'U', 'R', ' | ', 'R', 'Ui', 'Ri', 'U2', 'Li', 'U', 'L', ' | ', 'L', 'U2', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'R', 'U2', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U', 'F', 'R', 'y', 'R', 'U', 'Ri', 'Fi', ' | ', 'F2', 'L', 'F', 'U', 'F', 'Ui', 'F2', 'Li', 'F', 'U', 'F', 'U', 'Fi', 'U2', 'F']
[' | ', 'F', 'U2', 'F', 'Ri', 'Fi', 'U2', 'yi', 'L2', 'L', 'Fi', 'Li', ' | ', 'U', 'y', 'Ri', 'U', 'R', ' | ', 'Ui', 'Li', 'U', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'yi', 'Li', 'U2', 'L', 'U2', 'R', 'Ui', 'Ri', ' | ', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U', 'Ri', 'Di', 'R', 'U', 'Ri', 'D', 'R2', ' | ']
[' | ', 'D2', 'yi', 'Li', 'D2', 'Di', 'R', 'D', 'U2', 'L2', 'F2', ' | ', 'U2', 'y', 'Ri', 'U2', 'R', 'F', 'Ui', 'Fi', ' | ', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', 'U', 'Ri', ' | ', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', 'U', 'Li', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'F2', 'U', 'Fi', 'U', 'F', 'U2', 'Fi', ' | ', 'U2', 'F', 'Mi', 'U', 'Fi', 'Ui', 'M', 'U', 'F', 'Ui', 'Fi', 'U']
[' | ', 'y', 'R', 'D2', 'Ri', 'D2', 'F', 'Ri', 'Di', 'Ri', 'D', ' | ', 'U2', 'Li', 'Ui', 'L', ' | ', 'U2', 'L', 'U2', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'Fi', 'U', 'F', ' | ', ' | ', 'Ui', 'R', 'y', 'R2', 'D', 'Ri', 'U', 'R', 'Di', 'R2', 'Ui', 'Fi', ' | ', 'U', 'L2', 'yi', 'L', 'F', 'U', 'F', 'Ui', 'F2', 'Li', 'F', 'U', 'F', 'U', 'Fi', 'U2', 'F']
[' | ', 'D2', 'yi', 'L', 'D2', 'F', 'D', 'L', 'Di', 'U', 'yi', 'L', 'Fi', 'Li', 'R', ' | ', 'Ri', 'U2', 'R', 'U', 'L', 'U', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'Ui', 'Li', 'U', 'L', ' | ', 'U', 'y', 'R', 'U', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'F', 'Ui', 'Fi', ' | ', ' | ', 'yi', 'L', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ', 'L', 'Mi', 'U', 'Li', 'Ui', 'M', 'U', 'L', 'Ui', 'Li', 'Ui']
[' | ', 'F2', 'Di', 'Fi', 'D', 'U2', 'yi', 'L2', 'Fi', ' | ', 'Li', 'U', 'L', 'Ui', 'L', 'U', 'Li', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U2', 'yi', 'L', 'U', 'Li', ' | ', 'U', 'Fi', 'U2', 'F', 'Ui', 'R', 'U', 'Ri', ' | ', 'U', 'y', 'R', 'Ui', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'Ui', 'F', 'R2', 'D', 'Ri', 'U', 'R', 'Di', 'R2', 'Ui', 'Fi', ' | ']
[' | ', 'Ui', 'F2', 'R', 'L', 'yi', 'L', 'F', ' | ', 'Ri', 'U', 'R', ' | ', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'F', 'U', 'Fi', 'U', 'R', 'U', 'Ri', ' | ', 'Li', 'U', 'L', ' | ', ' | ', 'y', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U2', 'R2', 'U', 'Ri', 'U', 'R', 'U2', 'Ri', ' | ', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Mi', 'U', 'R', 'Ui', 'Ri', 'M', 'U']
[' | ', 'L', 'Fi', 'Li', 'L', 'D', 'y', 'R', 'Di', 'Di', 'Fi', 'D', 'y', 'Ri', ' | ', 'U2', 'F', 'U2', 'Fi', 'Ri', 'U', 'R', ' | ', 'Ui', 'Fi', 'U', 'F', 'L', 'U', 'Li', ' | ', 'Ui', 'R', 'U2', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', 'Ui', 'Li', 'Ui', 'L', 'U2', 'Li', 'U', 'L', ' | ', ' | ', 'U2', 'Ri', 'F', 'Ui', 'R', 'F', 'Ri', 'U', 'R', 'Fi', ' | ']
[' | ', 'Di', 'Li', 'D', 'y', 'R', 'F', 'yi', 'L2', ' | ', 'U', 'Ri', 'U2', 'R', 'U2', 'Fi', 'Ui', 'F', ' | ', 'yi', 'L', 'U2', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', 'Li', 'U', 'L', 'Ui', 'R', 'U', 'Ri', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'y', 'R', 'U2', 'R2', 'F', 'R', 'Fi', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U2']
[' | ', 'U', 'F2', 'R2', 'Di', 'R', 'D', 'D2', 'Ri', 'D2', ' | ', 'R', 'Ui', 'Ri', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'U2', 'L', 'U', 'Li', 'yi', 'Li', 'Ui', 'L', ' | ', 'U2', 'R', 'Ui', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'L', 'U2', 'Li', 'Ui', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', 'U2']
[' | ', 'D2', 'y', 'Ri', 'D2', 'Di', 'L', 'D', 'Di', 'Fi', 'D', 'D', 'L', 'Di', ' | ', 'U', 'y', 'R', 'U', 'Ri', ' | ', 'F', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', 'U2', 'yi', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', ' | ', 'U2', 'L', 'U', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', ' | ', 'U', 'R', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'U', 'L', 'F', 'U', 'Fi', 'Ui', 'L2', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'U']
[' | ', 'yi', 'L', 'D2', 'Li', 'D2', 'Di', 'R', 'D', 'D2', 'Ri', 'D2', 'U', 'F2', ' | ', 'U2', 'Fi', 'U2', 'F', 'F', 'U', 'Fi', ' | ', 'U2', 'L', 'U2', 'Li', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U', 'L', 'U2', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'L', 'U2', 'Li', 'Ui', 'L', 'Ui', 'L2', 'U2', 'L', 'U', 'Li', 'U', 'L', ' | ', 'U', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', 'U2']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'F', 'Ri', 'Fi', 'y', 'R', 'Di', 'Ri', 'D', ' | ', 'F', 'Ui', 'Fi', 'U2', 'Ri', 'Ui', 'R', ' | ', 'L', 'Ui', 'Li', 'Fi', 'Ui', 'F', ' | ', 'U', 'L', 'U2', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', 'U', 'F', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'Li', 'Ui', 'L', 'U', 'L', 'Fi', 'Li', 'F', ' | ']
[' | ', 'U2', 'L', 'Fi', 'Li', 'Ui', 'F', 'Ri', 'Fi', 'L', 'yi', 'L', 'L', 'Fi', 'Li', ' | ', 'Ri', 'U2', 'R', 'Fi', 'Ui', 'F', ' | ', 'F', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', 'U2', 'y', 'Ri', 'U2', 'R', 'Fi', 'Ui', 'F', ' | ', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U2', 'L', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'U2', 'Ri', 'F', 'Ui', 'R', 'F', 'Ri', 'U', 'R', 'Fi', ' | ']
[' | ', 'yi', 'L', 'D2', 'Li', 'D2', 'D2', 'R', 'D2', 'Ui', 'L', 'Fi', 'Li', ' | ', 'U', 'y', 'Ri', 'U', 'R', 'Fi', 'Ui', 'F', ' | ', 'U2', 'yi', 'Li', 'U2', 'L', 'U2', 'Fi', 'U', 'F', ' | ', 'F', 'U', 'Fi', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U2', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'Ui', 'y', 'Ri', 'F', 'R', 'U', 'F', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ']
[' | ', 'D', 'R', 'Di', 'Di', 'Fi', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'Li', 'U', 'L', ' | ', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'U2', 'L', 'Ui', 'Li', 'U2', 'yi', 'L', 'U', 'Li', ' | ', 'Li', 'U', 'L', 'U2', 'F', 'U', 'Fi', ' | ', ' | ', 'Ui', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'Ui', 'Li', 'Ui', 'Li', 'yi', 'L', 'F', 'Li', 'U', 'F', 'L', 'F', 'U', 'Fi', 'Ui', 'Li', 'U2']
[' | ', 'R', 'F', 'y', 'R', 'Di', 'R', 'D', ' | ', 'U', 'Ri', 'Ui', 'R', ' | ', 'U', 'Fi', 'U2', 'F', 'Li', 'U', 'L', ' | ', 'U', 'L', 'Ui', 'Li', 'U2', 'y', 'Ri', 'Ui', 'R', ' | ', 'F', 'Ui', 'Fi', 'U2', 'Li', 'Ui', 'L', ' | ', ' | ', 'U2', 'R', 'U', 'Ri', 'U', 'Ri', 'F', 'R', 'Fi', 'R', 'U2', 'Ri', ' | ', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'Ui']
[' | ', 'Fi', 'R', 'Di', 'F', 'D', 'L', 'D', 'Li', 'Di', 'L', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U2', 'Fi', 'U', 'F', ' | ', 'U2', 'yi', 'Li', 'Ui', 'L', 'L', 'U', 'Li', ' | ', 'Ui', 'R', 'U', 'Ri', ' | ', 'U', 'Li', 'U2', 'L', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'F', 'U2', 'Fi', 'Ui', 'F', 'Ui', 'F2', 'U2', 'F', 'U', 'Fi', 'U', 'F', ' | ', 'y', 'R', 'Mi', 'U', 'Ri', 'Ui', 'M', 'U', 'R', 'Ui', 'Ri', 'Ui']
[' | ', 'F', 'Di', 'L', 'D', 'yi', 'L2', 'Ui', 'L', 'Fi', 'Li', ' | ', 'L', 'U', 'Li', 'R', 'U', 'Ri', ' | ', 'Ui', 'Li', 'U', 'L', ' | ', 'U', 'L', 'U2', 'Li', 'yi', 'L', 'U', 'Li', ' | ', 'Ui', 'Li', 'U2', 'L', 'Ui', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'R', 'U2', 'R2', 'F', 'R', 'Fi', 'R', 'U2', 'Ri', ' | ']
[' | ', 'L', 'Fi', 'Li', 'U2', 'F', 'Ri', 'Fi', 'U', 'R', 'y', 'Ri', 'Fi', 'yi', 'L2', ' | ', 'F', 'Ui', 'Fi', ' | ', 'U2', 'yi', 'L', 'Ui', 'Li', ' | ', 'U2', 'F', 'U', 'Fi', 'U', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Li', 'U', 'L', 'U2', 'Li', 'Ui', 'L', ' | ', ' | ', 'L', 'U2', 'Li', 'Ui', 'L', 'Ui', 'L2', 'U2', 'L', 'U', 'Li', 'U', 'L', ' | ', 'U', 'Mi', 'Ui', 'M', 'U', 'Mi', 'Ui', 'M', 'Ui', 'Mi', 'U2', 'M', 'U']
[' | ', 'y', 'R', 'D', 'F', 'Di', 'y', 'R', 'D', 'F', 'Di', 'D', 'Ri', 'Di', 'R2', ' | ', 'U', 'R', 'Ui', 'Ri', ' | ', 'Ri', 'U', 'R', 'U2', 'L', 'Ui', 'Li', ' | ', 'U2', 'Ri', 'U', 'R', 'Ui', 'Ri', 'U', 'R', ' | ', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'U2', 'L', 'U2', 'Li', 'U2', 'Li', 'yi', 'L', 'F', 'Li', ' | ']
[' | ', 'F', 'Di', 'L', 'D', 'R2', 'U2', 'yi', 'L2', 'Fi', ' | ', 'Ui', 'Ri', 'U2', 'R', 'y', 'Ri', 'Ui', 'R', ' | ', 'Li', 'U', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Li', 'Ui', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', 'Ui', 'y', 'Ri', 'U', 'R', 'U', 'Ri', 'Ui', 'R', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'F', 'Ui', 'F', 'D', 'Fi', 'Ui', 'F', 'Di', 'F2', ' | ']
[' | ', 'U', 'L', 'Fi', 'Li', 'U', 'R2', 'U', 'yi', 'L2', 'L', 'Fi', 'Li', ' | ', 'U2', 'Li', 'U', 'L', 'yi', 'L', 'U', 'Li', ' | ', 'U2', 'F', 'U2', 'Fi', 'U', 'y', 'R', 'U', 'Ri', ' | ', 'L', 'Ui', 'Li', ' | ', 'Ui', 'F', 'U2', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'Ui', 'L', 'F2', 'D', 'Fi', 'U', 'F', 'Di', 'F2', 'Ui', 'Li', ' | ', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui']
[' | ', 'R2', 'yi', 'L', 'U2', 'F2', ' | ', 'U', 'L', 'U2', 'Li', 'U', 'F', 'Ui', 'Fi', ' | ', 'U', 'Ri', 'Ui', 'R', ' | ', 'U2', 'L', 'U2', 'Li', 'U2', 'y', 'Ri', 'U', 'R', ' | ', 'Li', 'U', 'L', 'Ui', 'F', 'Ui', 'Fi', ' | ', ' | ', 'L', 'U2', 'Li', 'yi', 'L', 'Fi', 'Li', 'F', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'U2', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U2']
[' | ', 'D', 'Ri', 'Di', 'D', 'y', 'R', 'Di', 'F', 'Ri', 'Fi', 'Ui', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ui', 'yi', 'L', 'U', 'Li', ' | ', 'Ui', 'Ri', 'Ui', 'R', 'U', 'F', 'U', 'Fi', ' | ', 'Ui', 'Ri', 'Ui', 'R', 'Ui', 'Fi', 'U', 'F', ' | ', 'U', 'y', 'R', 'U', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'Ui', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'U2', 'yi', 'L', 'F', 'U', 'Fi', 'Ui', 'Li', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', 'U', 'F', 'Ui']
[' | ', 'yi', 'L', 'D2', 'Li', 'D2', 'D', 'L', 'Di', 'L2', 'L', 'Fi', 'Li', ' | ', 'Li', 'Ui', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'U', 'R', 'U2', 'Ri', 'U2', 'Li', 'Ui', 'L', ' | ', 'U', 'Fi', 'U', 'F', 'L', 'U', 'Li', ' | ', 'R', 'Ui', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'y', 'R2', 'Di', 'R', 'U2', 'Ri', 'D', 'R', 'U2', 'R', ' | ', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui']
[' | ', 'F', 'Di', 'L', 'D', 'R', 'Di', 'F', 'D', 'U', 'yi', 'L2', 'U2', 'L', 'Fi', 'Li', ' | ', 'U2', 'L', 'U', 'Li', 'R', 'Ui', 'Ri', ' | ', 'F', 'U', 'Fi', 'Ri', 'U', 'R', ' | ', 'U2', 'L', 'U2', 'Li', 'U', 'yi', 'Li', 'Ui', 'L', ' | ', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'y', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'Ui', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'U']
[' | ', 'D', 'R', 'Di', 'R', 'Di', 'F', 'D', 'yi', 'L2', 'D', 'Ri', 'Di', ' | ', 'Ui', 'Ri', 'U', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U', 'L', 'U', 'Li', ' | ', 'U2', 'Li', 'U', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'U2', 'L', 'D', 'Li', 'U2', 'L', 'Di', 'L2', ' | ', 'U2', 'R', 'y', 'R', 'U', 'Ri', 'Ui', 'F2', 'Li', 'Ui', 'L', 'U', 'F']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'U', 'R2', 'D2', 'Fi', 'D2', 'D', 'Fi', 'Di', ' | ', 'y', 'R', 'Ui', 'Ri', 'Ri', 'U', 'R', ' | ', 'L', 'Ui', 'Li', ' | ', 'Fi', 'U2', 'F', 'U2', 'Li', 'Ui', 'L', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'U2', 'R', 'U', 'Ri', ' | ', ' | ', 'L', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ', 'Mi', 'U', 'Mi', 'U2', 'M', 'U', 'M2', 'U', 'Mi', 'U']
[' | ', 'D2', 'y', 'R', 'D2', 'U', 'F2', 'Ui', 'R2', 'Di', 'Ri', 'D', ' | ', 'Ui', 'yi', 'Li', 'U2', 'L', 'U2', 'F', 'U', 'Fi', ' | ', 'yi', 'Li', 'U2', 'L', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U', 'F', 'Ui', 'Fi', 'Ui', 'Li', 'U', 'L', ' | ', 'L', 'Ui', 'Li', 'U', 'L', 'U', 'Li', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', ' | ', 'F', 'Ri', 'Ui', 'R', 'Fi', 'Ri', 'U', 'Fi', 'R', ' | ']
[' | ', 'Ui', 'F2', 'U2', 'F', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', 'D2', 'Fi', 'D2', ' | ', 'Ui', 'Li', 'U', 'L', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'Fi', 'Ui', 'F', ' | ', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'L', ' | ', 'Ri', 'U', 'R', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'F', 'Ri', 'Fi', 'R', ' | ']
[' | ', 'D2', 'yi', 'L', 'D2', 'D2', 'F', 'D2', 'F', 'L', 'D', 'R', 'Di', ' | ', 'U2', 'yi', 'L', 'Ui', 'Li', 'U2', 'F', 'U', 'Fi', ' | ', 'L', 'U', 'Li', 'U', 'R', 'U', 'Ri', ' | ', 'U2', 'yi', 'L', 'Ui', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', 'Li', 'U2', 'L', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'Ui', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'Ui', 'F', 'Mi', 'U', 'Fi', 'Ui', 'M', 'U', 'F', 'Ui', 'Fi', 'Ui']
[' | ', 'R', 'F', 'y', 'R', 'F', 'y', 'R', 'D', 'Ri', 'Di', 'U', 'F', 'Ri', 'Fi', ' | ', 'L', 'U2', 'Li', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'U2', 'Ri', 'U2', 'R', 'U2', 'yi', 'Li', 'U', 'L', ' | ', 'U2', 'L', 'U2', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'U', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'U', 'Mi', 'Ui', 'M', 'U', 'Mi', 'Ui', 'M', 'Ui', 'Mi', 'U2', 'M', 'U2']
[' | ', 'Di', 'L', 'D', 'y', 'R', 'D', 'Ri', 'Di', 'Ui', 'F', 'Ri', 'Fi', 'U', 'y', 'R2', ' | ', 'U2', 'F', 'U', 'Fi', ' | ', 'R', 'Ui', 'Ri', 'U', 'y', 'R', 'Ui', 'Ri', ' | ', 'Ri', 'U2', 'R', 'U', 'F', 'U', 'Fi', ' | ', 'Ui', 'yi', 'L', 'U2', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'U', 'U2', 'Ri', 'F', 'Ui', 'R', 'F', 'Ri', 'U', 'R', 'Fi', ' | ']
[' | ', 'D2', 'yi', 'Li', 'D2', 'D2', 'F', 'D2', 'D', 'F', 'Di', 'L', 'Fi', 'Li', ' | ', 'R', 'U', 'Ri', 'U', 'F', 'Ui', 'Fi', ' | ', 'U2', 'yi', 'L', 'U2', 'Li', 'F', 'Ui', 'Fi', ' | ', 'L', 'Ui', 'Li', 'Ri', 'Ui', 'R', ' | ', 'U', 'L', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U', 'F', 'R', 'y', 'R', 'U', 'Ri', 'Fi', ' | ', 'U2', 'R', 'y', 'R', 'U', 'Ri', 'Ui', 'F2', 'Li', 'Ui', 'L', 'U', 'F', 'Ui']
